type,title,description,acceptancecriteria,areapath,iterationpath,sprint theme
Task,Conduct Workload Design Session,,,\VDCTeam,\Sprint1,
User Story,Cloud Design Session  Network Discovery,Intitial design session focused on Network,Onsite design session complete,\VDCTeam,\Sprint1,
Task,Network Design Strategy Update,"Updates made to strategy documenation, focus on Network",,\VDCTeam,\Sprint1,
Task,Network Design Strategy Review,Review with Customer updated Network strategy,,\VDCTeam,\Sprint1,
Task,Network Design Strategy Finalization,Finalized network strategy document,,\VDCTeam,\Sprint1,
Task,Conduct Network Design Session,,,\VDCTeam,\Sprint1,
Feature,VDC Handoff,Ensure best practices are being followed for Identity and sync activities to onprem,,\VDCTeam,,
Task,Transition Support to 10M Manged Services,Formal handoff to Managed Services for continued support activity,,\VDCTeam,\Sprint5,
Task,Review Deliverables with Customer,Review sesssion with the customer ,,\VDCTeam,\Sprint5,
Task,Code handoff to Customer,Provide code repo to customer,,\VDCTeam,\Sprint5,
Feature,Azure Organizational,,,\VDCTeam,,
User Story,Azure Governance  Cloud Admin,Cloud Admin resources are centralized resources that are leveraged by shared services and across subscriptions,,\VDCTeam,\Sprint2,
Task,Deploy and Configure Cloud Admin Keyvault,Create centralized keyvaults (in each region) per 10M best practices,,\VDCTeam,\Sprint2,
Task,Deploy and Configure Central Cloud Admin storage account,Createc centralized storage accounts per 10M best practices,,\VDCTeam,\Sprint2,
User Story,Azure Governance  Subscription Alignment,Ensure that all subscriptions within the Azure deployment are following 10M best practices and are aligned,,\VDCTeam,\Sprint2,
Task,Create and Deploy Subscriptions,"Based on the design sessions, follow the subscription layout created.",,\VDCTeam,\Sprint2,
Task,Resource provider registration,Enable appropriate resource providers per subscription,,\VDCTeam,\Sprint2,
Task,Configure Activity Log,Enable and configure activity log per subscription following 10M best practices,,\VDCTeam,\Sprint2,
Task,Create Activity Log profile,Create Activity log profile per subscription following 10M best practices,,\VDCTeam,\Sprint2,
Task,Validate subscription RBAC,Validate users in the toplevel subscription roles.  Enable inheritance,,\VDCTeam,\Sprint2,
User Story,Azure Governance  Security Center,"Based on design sessions and security/compliance requirements, configure Security Center order to meet organizational needs",,\VDCTeam,\Sprint2,
Task,Deploy and Configure Security Center,Enable Security Center ,,\VDCTeam,\Sprint2,
User Story,Azure Governance  Policy,"Based on design sessions and security/compliance requirements, configure Azure policy in order to meet organizational needs",,\VDCTeam,\Sprint2,
Task,Deploy and Configure Azure Policy Center (base policies),Configure Azure Policy Center,,\VDCTeam,\Sprint2,
User Story,Create and Update Organizational Resource Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update Cloud Admin Key Vault Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update Cloud Admin Storage Account Templates,,,\VDCTeam,\Sprint2,
Feature,Azure Workloads,,,\VDCTeam,\Sprint4,
User Story,Azure Workloads  Linux,Linux workload development  this feature should translate the customers Linux standards to Azure,,\VDCTeam,\Sprint4,
Task,Create and Update Linux workload template,Create a templated deployment for a Linux workload,,\VDCTeam,\Sprint4,
Task,Deploy Linux workload,Deploy Linux workload through template,,\VDCTeam,\Sprint4,
User Story,Azure Workloads  Windows,Windows workload development  this feature should translate the customers Windows standards to Azure,,\VDCTeam,\Sprint4,
Task,Create and Update Windows workload template,Create a templated deployment for a Windows workload,,\VDCTeam,\Sprint4,
Task,Deploy Windows workload,Deploy Windows workload through template,,\VDCTeam,\Sprint4,
User Story,Azure Workloads  SQL IaaS,SQL workload development  this feature should translate the customers SQL IaaS standards to Azure,,\VDCTeam,\Sprint4,
Task,Create and Update SQL IaaS workload template,Create a templated deployment for a SQL IaaS workload,,\VDCTeam,\Sprint4,
Task,Deploy SQL IaaS workload,Deploy SQL IaaS workload through template,,\VDCTeam,\Sprint4,
User Story,Azure Workloads  SQL PaaS,SQL PaaS workload development  this feature should translate the customers SQL standards to Azure (PaaS),,\VDCTeam,\Sprint4,
Task,Create and Update SQL PaaS workload template,Create a templated deployment for a SQL PaaS workload,,\VDCTeam,\Sprint4,
Task,Deploy SQL PaaS workload,Deploy SQL PaaS workload through template,,\VDCTeam,\Sprint4,
User Story,Azure Workloads  Web and App,Web/App workload development  this feature should translate the customers Web/App/DB standards to Azure,,\VDCTeam,\Sprint4,
Task,Create and Update Web and App workload  pattern template,Create a templated deployment for a web/app/db pattern,,\VDCTeam,\Sprint4,
Task,Deploy Web and App workload,Deploy Web/App/DB pattern through template,,\VDCTeam,\Sprint4,
Feature,Azure Operations,,,\VDCTeam,,
User Story,Operations  Update Management,Update management via Azure updates,,\VDCTeam,\Sprint3,
Task,Deploy and Configure Azure Automation Account,Deploy and configure an Azure Automation account (w/ RunAs abiltiy),,\VDCTeam,\Sprint3,
Task,Configure Azure Update management,Configure Azure update solution,,\VDCTeam,\Sprint3,
User Story,Operations  Monitoring,Monitoring component deployments and configurations,,\VDCTeam,\Sprint5,
Task,Deploy base monitoring dashboards,Deploy base monitoring dashboards to centralized dashboard resource group,,\VDCTeam,\Sprint5,
User Story,Operations  Log Analytics,Log Analytics collects and provides near realtime data that can feed alerts/monitors and provide insight to the health of your Azure deployment,,\VDCTeam,\Sprint2,
Task,Deploy Log Analytics,Deploy Log Analytics,,\VDCTeam,\Sprint2,
Task,Configure Network Monitor,Configure the Network monitoring Log Analytics solution,,\VDCTeam,\Sprint2,
Task,Deploy base monitoring solutions,Deploy 10M recommended Log Analytics solutions,,\VDCTeam,\Sprint2,
Task,Configure base monitoring solutions,Configure where necessary the base monitoring solutions,,\VDCTeam,\Sprint2,
User Story,Operations  Alerts,Alerts  Define alerting criteria and create base alerting framework,,\VDCTeam,\Sprint3,
Task,Deploy and Configure Azure Alert Groups,Create Azure Alert groups,,\VDCTeam,\Sprint3,
User Story,Operations  Backup,Enable Azure backup by default and ensure that the necessary infrastructure is in place to leverage it.,,\VDCTeam,\Sprint3,
Task,Deploy Centralized Recovery Services vault (per region),Deploy Recvovery Services Vault through template,,\VDCTeam,\Sprint3,
Task,Create template to enable backups on VM,Create a templatized method to enable backups on VMs,,\VDCTeam,\Sprint3,
Task,Create template to setup backup policies,Create a templatized method to build a backup policy,,\VDCTeam,\Sprint3,
User Story,Create and Update Operations Resource Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update base monitoring dashboards,Create and update a base monitoring dashboard that is templatized,,\VDCTeam,\Sprint5,
Task,Create and Update Recovery services vault template,Create a templated deployment for a Recovery Services Vault,,\VDCTeam,\Sprint2,
Task,Create and Update Log Analytics Resource Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update Azure Automation Resource Templates,,,\VDCTeam,\Sprint2,
Feature,Azure Identity,,,\VDCTeam,,
User Story,Azure Identity  Connectivity,Ensure best practices are being followed for Identity and sync activities to onprem,,\VDCTeam,\Sprint2,
Task,Validate AD Connect and sync settings,Validate AD Connect settings,,\VDCTeam,\Sprint2,
User Story,Azure Identity  Extend,Extend onprem Identity into Azure (if required),,\VDCTeam,\Sprint3,
Task,Deploy Domain Contoller into targeted Azure regions,Deploy Domain Controller workload through template,,\VDCTeam,\Sprint3,
User Story,Create and Update Identity Resource Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update Windows Domain Controller template,Create a templated deployment for Windows Domain Controller,,\VDCTeam,\Sprint2,
Feature,Azure Networking,,,\VDCTeam,,
User Story,Azure Networking  Core,Core networking elements for the Azure deployment,,\VDCTeam,,
Task,Lock HVA (Network),"Locks should be applied to high value assets  ie. vNets, load balancers, app gateways and other critical network assets",,\VDCTeam,\Sprint5,
Task,Deploy Core Network,"Core network consists of vNets, shared service subnets, peering,etc",,\VDCTeam,\Sprint3,
Task,Deploy and Configure DMZ,DMZ networking compontents (if needed),,\VDCTeam,\Sprint3,
User Story,Azure Networking  Security,Secure Azure networking assets and adopt a security first posture in regards to its components,,\VDCTeam,,
Task,Deploy and Configure NSG,NSG deployments should protect internet facing ,,\VDCTeam,\Sprint3,
User Story,Azure Networking  Services,"Azure networking services include loadbalancers, app gateways, etc",,\VDCTeam,,
Task,Deploy Loadbalancer(s),Leverage template(s) for deployment,,\VDCTeam,\Sprint3,
Task,Deploy Application Gateway(s),Leverage template(s) for deployment,,\VDCTeam,\Sprint3,
Task,Deploy NVA,Work with customer team to deploy 3rd party NVA (if needed,,\VDCTeam,\Sprint3,
Task,Configure NVA,Provide guidance to networking team where needed,,\VDCTeam,\Sprint3,
User Story,Azure Networking  Connectivity,Connectivity from Azure to onprem networks as well as connectivity to Azure services through the Azure backplane,,\VDCTeam,,
Task,Enable Service Endpoints,Enable service endpoints in the appropriate networks/subnets,,\VDCTeam,\Sprint3,
Task,Deploy Azure VPN ,Deploy VPN template,,\VDCTeam,\Sprint3,
Task,Validate Connectivity,Work with customer networking team to validate network connectivity,,\VDCTeam,\Sprint3,
Task,Validate Networking equipment,Work with customer team to ensure that networking equipment is able to connect to Azure through VPN,,\VDCTeam,\Sprint3,
User Story,Create and Update Networking Resource Templates,,,\VDCTeam,\Sprint2,
Task,Create Azure loadbalancer template,Create a templated deployment for an Azure load balancer,,\VDCTeam,\Sprint2,
Task,Create Azure Application Gateway template,Create a templated deployment for an Application Gateway,,\VDCTeam,\Sprint2,
Task,Create and Update VPN template,Update VPN template to match customer needes,,\VDCTeam,\Sprint2,
Task,Create and Update Hub VNet Templates,,,\VDCTeam,\Sprint2,
Task,Create and Update Spoke VNet Templates,,,\VDCTeam,\Sprint2,
